"","party","parlgov_party_id","country_name_short","country_name","party_name_short","party_name_english","party_name","party_name_ascii","family_name_short","family_name","left_right","state_market","liberty_authority","eu_anti_pro","cmp","euprofiler","ees","castles_mair","huber_inglehart","ray","benoit_laver","chess","country_id","family_id"
"34","KPN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Kronenburg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Kuzu/Ozturk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","KVP",451,"NLD","Netherlands","KVP","Catholic Peoples Party","Katholieke Volkspartij","Katholieke Volkspartij","chr","Christian democracy",5.9473,5.8848,6.6882,7.7157,22522,NA,NA,1106,NA,1001,7040,1001,8,3
"38","Lazrak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","LN",744,"NLD","Netherlands","LN","Livable Netherlands","Leefbaar Nederland","Leefbaar Nederland","right","Right-wing",8.7,5.9,8.6,2.4,22430,NA,NA,NA,NA,NA,NA,NA,8,40
"40","LPF",456,"NLD","Netherlands","LPF","Fortuyn List","Lijst Pim Fortuyn","Lijst Pim Fortuyn","right","Right-wing",8.5609,8.0776,4.7759,2.5798,22720,NA,NA,NA,NA,NA,7120,1015,8,40
"41","Nawijn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Nijpels",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","NMP",87,"NLD","Netherlands","MP","Middle Party","Midden Partij","Midden Partij","con","Conservative",7.4,6.4,6.9,7.8,NA,NA,NA,NA,NA,NA,NA,NA,8,26
"44","Nooteboom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Ockels",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","PPR",342,"NLD","Netherlands","PPR","Radical Political Party","Politieke Partij Radikalen","Politieke Partij Radikalen","eco","Green/Ecologist",1.6,2.5,1.8,5,22310,NA,NA,1103,NA,1010,NA,NA,8,19
"47","PSP",1452,"NLD","Netherlands","PSP","Pacifist Socialist Party","Pacifistisch Socialistische Partij","Pacifistisch Socialistische Partij","com","Communist/Socialist",1.2,1.4,3,5,NA,NA,NA,NA,NA,1011,NA,NA,8,14
"48","PvdA",742,"NLD","Netherlands","PvdA","Labour Party","Partij van de Arbeid","Partij van de Arbeid","soc","Social democracy",3.6118,3.868,3.2028,7.9904,22320,299,1528320,1104,2602,1002,7140,1002,8,11
"49","PvdD",990,"NLD","Netherlands","PvdD","Party for the Animals","Partij voor de Dieren","Partij voor de Dieren","spec","Special issue",NA,NA,NA,NA,NA,300,1528006,NA,NA,NA,NA,1018,8,16
"50","PvdV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","PVV",1501,"NLD","Netherlands","PVV","Party for Freedom","Partij voor de Vrijheid","Partij voor de Vrijheid","con","Conservative",8.8,8.29,6.57,0.9167,NA,301,1528600,NA,NA,NA,NA,1017,8,26
